year,month_name,quarter,lastSaleDate,date_id
2006,October,4,2006-10-18 00:00:00+00:00,226
2004,November,4,2004-11-16 00:00:00+00:00,227
1999,March,1,1999-03-08 00:00:00+00:00,228
2019,August,3,2019-08-01 00:00:00+00:00,229
2021,May,2,2021-05-05 00:00:00+00:00,230
2022,October,4,2022-10-14 00:00:00+00:00,231
2011,May,2,2011-05-02 00:00:00+00:00,232
2021,July,3,2021-07-29 00:00:00+00:00,233
2019,June,2,2019-06-11 00:00:00+00:00,234
2019,May,2,2019-05-16 00:00:00+00:00,235
2012,June,2,2012-06-28 00:00:00+00:00,236
2021,May,2,2021-05-03 00:00:00+00:00,237
2018,May,2,2018-05-08 00:00:00+00:00,238
2021,June,2,2021-06-02 00:00:00+00:00,239
1996,August,3,1996-08-23 00:00:00+00:00,240
2001,December,4,2001-12-04 00:00:00+00:00,241
2022,March,1,2022-03-04 00:00:00+00:00,242
2017,September,3,2017-09-28 00:00:00+00:00,243
2005,November,4,2005-11-30 00:00:00+00:00,244
2019,September,3,2019-09-17 00:00:00+00:00,245
1981,May,2,1981-05-05 00:00:00+00:00,246
2015,June,2,2015-06-19 00:00:00+00:00,247
2014,May,2,2014-05-22 00:00:00+00:00,248
2014,July,3,2014-07-30 00:00:00+00:00,249
2023,March,1,2023-03-30 00:00:00+00:00,250
1998,August,3,1998-08-10 00:00:00+00:00,251
2008,September,3,2008-09-24 00:00:00+00:00,252
2019,November,4,2019-11-18 00:00:00+00:00,253
2017,April,2,2017-04-18 00:00:00+00:00,254
2013,July,3,2013-07-29 00:00:00+00:00,255
2019,April,2,2019-04-02 00:00:00+00:00,256
2015,March,1,2015-03-06 00:00:00+00:00,257
2024,March,1,2024-03-05 00:00:00+00:00,258
2015,December,4,2015-12-31 00:00:00+00:00,259
2024,April,2,2024-04-16 00:00:00+00:00,260
2006,December,4,2006-12-19 00:00:00+00:00,261
2017,May,2,2017-05-03 00:00:00+00:00,262
2024,February,1,2024-02-05 00:00:00+00:00,263
2011,October,4,2011-10-14 00:00:00+00:00,264
2021,June,2,2021-06-23 00:00:00+00:00,265
2024,January,1,2024-01-31 00:00:00+00:00,266
2008,October,4,2008-10-30 00:00:00+00:00,267
2011,August,3,2011-08-26 00:00:00+00:00,268
2020,August,3,2020-08-31 00:00:00+00:00,269
2021,November,4,2021-11-18 00:00:00+00:00,270
2023,November,4,2023-11-13 00:00:00+00:00,271
2016,June,2,2016-06-14 00:00:00+00:00,272
2021,May,2,2021-05-12 00:00:00+00:00,273
2012,November,4,2012-11-02 00:00:00+00:00,274
2022,November,4,2022-11-17 00:00:00+00:00,275
2005,October,4,2005-10-21 00:00:00+00:00,276
2014,June,2,2014-06-23 00:00:00+00:00,277
2022,April,2,2022-04-19 00:00:00+00:00,278
2012,August,3,2012-08-21 00:00:00+00:00,279
2012,April,2,2012-04-12 00:00:00+00:00,280
2018,August,3,2018-08-31 00:00:00+00:00,281
2016,September,3,2016-09-26 00:00:00+00:00,282
2014,October,4,2014-10-30 00:00:00+00:00,283
2003,May,2,2003-05-08 00:00:00+00:00,284
2003,May,2,2003-05-09 00:00:00+00:00,285
2021,March,1,2021-03-24 00:00:00+00:00,286
1996,November,4,1996-11-22 00:00:00+00:00,287
2017,February,1,2017-02-06 00:00:00+00:00,288
2021,February,1,2021-02-03 00:00:00+00:00,289
2023,October,4,2023-10-11 00:00:00+00:00,290
2009,October,4,2009-10-01 00:00:00+00:00,291
2022,May,2,2022-05-02 00:00:00+00:00,292
2001,August,3,2001-08-03 00:00:00+00:00,293
1995,November,4,1995-11-15 00:00:00+00:00,294
2016,November,4,2016-11-14 00:00:00+00:00,295
2009,September,3,2009-09-30 00:00:00+00:00,296
2021,July,3,2021-07-12 00:00:00+00:00,297
1987,October,4,1987-10-14 00:00:00+00:00,298
2004,January,1,2004-01-30 00:00:00+00:00,299
2023,June,2,2023-06-07 00:00:00+00:00,300
